name,matched_alias,papers_last_12m,papers_last_36m,last_paper_date,latest_title,latest_bibcode,recent_activity_flag
55Cnce,55Cnce,1,1,2025-09-00,Volatile−Rich Magma─Atmosphere Equilibria on Hot Rocky Exoplanets,2025epsc.conf.1367M,True
AUMicb,AUMicb,0,0,,,,False
AUMicc,AUMicc,0,0,,,,False
CoRoT-1b,CoRoT 1 b,3,3,2026-07-00,"Ephemeris Refinement for Qatar-4 b, HAT-P-18 b, and CoRoT-1 b with Small Telescope and TESS Observations",2026arXiv260715391H,True
CoRoT-2b,CoRoT-2b,6,10,2026-07-00,Unraveling the Mystery of the Western Hotspot Offset on the CoRoT-2b with Phase-Resolved High-Resolution Spectroscopy,2026AAS...24820805K,True
CoRoT-3b,CoRoT 3 b,0,1,,,,False
CoRoT-5b,CoRoT 5 b,0,0,,,,False
CoRoT-10b,CoRoT-10b,1,2,2025-09-00,"Exoplanet observations and TTV, transit timing variation interesting cases",2025epsc.conf..173L,True
CoRoT-11b,CoRoT 11 b,0,0,,,,False
CoRoT-19b,CoRoT 19 b,0,0,,,,False
CoRoT-36b,CoRoT 36 b,0,0,,,,False
DSTucAb,DSTucAb,0,0,,,,False
EPIC211945201b,EPIC211945201 b,0,0,,,,False
EPIC246851721b,EPIC246851721 b,0,0,,,,False
G9-40b,G9 40 b,0,0,,,,False
GJ357b,GJ357 b,0,0,,,,False
GJ367b,GJ367b,1,1,2026-06-00,The Maximum Density of a Collisionally-Produced Planet is A Function of its Mass and Orbital Period,2026arXiv260618336B,True
GJ436b,GJ436 b,1,2,2026-05-00,Stellar energetic particle and cosmic ray effects in exoplanetary atmospheres,2026IAUS..388..243R,True
GJ486b,GJ486 b,0,0,,,,False
GJ1132b,GJ1132 b,1,1,2026-05-00,Super-Earth masses and stellar abundances from NIRPS reveal tentative evidence for water-rich formation around M dwarfs,2026A&A...709A.165W,True
GJ1214b,GJ1214b,8,13,2026-06-00,Exploring atmospheric escape from hot-Jupiters and water-rich sub-Neptunes with full-atmosphere models,2026ASTCS..1130204T,True
GJ1252b,GJ1252b,2,3,2026-05-00,Super-Earth masses and stellar abundances from NIRPS reveal tentative evidence for water-rich formation around M dwarfs,2026A&A...709A.165W,True
GJ3090b,GJ3090 b,0,0,,,,False
GJ3470b,GJ3470b,1,2,2026-06-00,"Atmospheric diversity of sub-Neptunes from formation with rock, water, and soot",2026arXiv260620464D,True
GJ3473b,GJ3473 b,0,0,,,,False
GJ3929b,GJ3929 b,0,0,,,,False
GJ9827b,GJ9827 b,0,0,,,,False
GJ9827c,GJ9827 c,0,0,,,,False
GJ9827d,GJ9827 d,0,0,,,,False
GPX-1b,GPX 1 b,0,2,,,,False
Gaia-1b,Gaia 1 b,0,0,,,,False
Gaia-2b,Gaia-2b,1,1,2025-11-00,Multicolor Transit Photometry: Searching for Traces of Exoplanet Atmospheres,2025ARep...69.1135B,True
HAT-P-1b,HAT P 1 b,0,2,,,,False
HAT-P-2b,HAT P 2 b,0,2,,,,False
HAT-P-3b,HAT P 3 b,1,1,2026-03-00,"HET/HPF Observations of Helium in Warm, Hot, and Ultrahot Jupiters",2026AJ....171..194O,True
HAT-P-4b,HAT P 4 b,0,1,,,,False
HAT-P-5b,HAT P 5 b,0,0,,,,False
HAT-P-6b,HAT P 6 b,0,0,,,,False
HAT-P-7b,HAT-P-7b,1,6,2025-09-00,Probing Transit Timing Variations Amid Heteroscedasticity: Lessons from HAT-P-7b and TrES-2b,2025epsc.conf.1287B,True
HAT-P-8b,HAT P 8 b,1,1,2026-04-00,The First Dedicated Survey of Atmospheric Escape from Planets Orbiting F Stars,2026AJ....171..257S,True
HAT-P-9b,HAT P 9 b,0,0,,,,False
HAT-P-11b,HAT-P-11b,4,19,2025-12-00,Activity of the K4 Dwarf HAT-P-11 and Mass Loss of the Atmosphere of Its Exoplanet HAT-P-11 b,2025ARep...69.1488S,True
HAT-P-12b,HAT-P-12b,8,10,2026-06-00,When Stability Reveals Systematics: Brighter-Fatter Biases in JWST Exoplanet Spectroscopy with MIRI and NIR Instruments,2026ASTCS..1160049B,True
HAT-P-13b,HAT P 13 b,0,1,,,,False
HAT-P-14b,HAT P 14 b,0,1,,,,False
HAT-P-15b,HAT P 15 b,0,0,,,,False
HAT-P-16b,HAT-P-16b,1,1,2025-12-00,"A Combined TESS and Ground-based Study of Transit Timing Variations in HAT-P-16, TOI-1516 and TOI-2046 Systems",2025AJ....170..341S,True
HAT-P-17b,HAT P 17 b,1,2,2026-03-00,"HET/HPF Observations of Helium in Warm, Hot, and Ultrahot Jupiters",2026AJ....171..194O,True
HAT-P-18b,HAT-P-18b,8,14,2026-07-00,"Ephemeris Refinement for Qatar-4 b, HAT-P-18 b, and CoRoT-1 b with Small Telescope and TESS Observations",2026arXiv260715391H,True
HAT-P-19b,HAT P 19 b,0,1,,,,False
HAT-P-20b,HAT P 20 b,0,3,,,,False
HAT-P-21b,HAT P 21 b,0,0,,,,False
HAT-P-22b,HAT P 22 b,0,0,,,,False
HAT-P-23b,HAT P 23 b,0,5,,,,False
HAT-P-24b,HAT P 24 b,0,2,,,,False
HAT-P-25b,HAT P 25 b,1,1,2025-11-00,Transiting Exoplanets from Sharjah Astronomical Observatory (SAO-M47): The Exoplanet HAT-P-25b Using L and V Filters,2025arXiv251104396T,True
HAT-P-26b,HAT P 26 b,3,7,2026-03-00,"HET/HPF Observations of Helium in Warm, Hot, and Ultrahot Jupiters",2026AJ....171..194O,True
HAT-P-27b,HAT P 27 b,0,0,,,,False
HAT-P-28b,HAT P 28 b,0,0,,,,False
HAT-P-29b,HAT P 29 b,0,0,,,,False
HAT-P-30b,HAT P 30 b,1,1,2026-03-00,BOWIE-ALIGN: Sub-solar C/O ratio and metallicity atmosphere of the misaligned hot Jupiter HAT-P-30 b,2026MNRAS.546ag143C,True
HAT-P-31b,HAT P 31 b,0,0,,,,False
HAT-P-32b,HAT-P-32b,6,13,2026-03-00,HAT-P-32 b: what can be deduced from transit observations in Hα and He I lines?,2026arXiv260314059F,True
HAT-P-33b,HAT P 33 b,0,0,,,,False
HAT-P-34b,HAT P 34 b,0,0,,,,False
HAT-P-35b,HAT P 35 b,0,0,,,,False
HAT-P-36b,HAT P 36 b,1,1,2026-02-00,IDAstro: Collaborative Research and Outreach,2026AAS...24743123H,True
HAT-P-37b,HAT P 37 b,3,3,2026-02-00,Refining The Ephemerides of 6 Hot Jupiters Through Citizen Science: Results from a Course-Based Undergraduate Research Experience,2026AAS...24720801H,True
HAT-P-38b,HAT P 38 b,0,0,,,,False
HAT-P-39b,HAT P 39 b,0,2,,,,False
HAT-P-40b,HAT P 40 b,0,0,,,,False
HAT-P-41b,HAT P 41 b,0,0,,,,False
HAT-P-42b,HAT P 42 b,0,2,,,,False
