event_id,name,epoch,pred_sigma_min,T0,P,duration_hours,mag_V,mag_R,depth_mmag,current_oc_min,min_telescope_inches,ra,dec,n_obs_recent,exoclock_priority,recent_activity_flag,events_per_month,network_needed,campaign_flag,ttv_flag,snr_proxy,time_since_last_obs_days,last_obs_jd,Tmid_utc,obs_frac,obs_max_alt,obs_min_alt,obs_mean_airmass,obs_visible,obs_peak_time_jd,ttv_amplitude_min,ttv_signal_strength,ttv_significance_class,instrument_difficulty,instrument_difficulty_norm,aperture_exoclock,required_aperture,aperture_ratio,instrument_flag,instrument_feasible,aperture_consistency,instrument_penalty,science_priority_numeric,science_recency_score,campaign_intensity,campaign_intensity_norm,S1,S2,S3,S4,S5,S6,base_score,final_score,priority_group,obs_frac_pct,final_score_pct,obs_interpretation,ephemeris_interpretation,score_interpretation,science_interpretation,synergy_explanation,score_breakdown,summary_text,flag_labels
TOI-1670c_45,TOI-1670c,45,3.395378317655053,2459402.88385,40.750116,5.41,9.89,9.627,6.48,-32.3,5.77,259.01733666666667,72.16115916666668,4,alert,True,0.7361942233489593,True,True,1,52.37,1822.881356511265,2459402.88385,2026-07-15 03:19:06.464,0.875,41.77325264164975,24.746740688030386,1.846988225710726,1,2461236.554935926,32.3,1.0,strong,4,0.6666666666666666,5.77,4.396878817752845,0.1832032840730352,OK,True,0.7620240585360217,1.0,5,0.2,4.220858267004688,0.496571560824081,2,5,4,4,5.0,4,3.85,3.85,0,0.9596244131455399,1.0,excellent visibility,well constrained ephemeris,top priority target,ExoClock alert target; 4 observations in the last year (moderately monitored),multi-site coordination required; active campaign target,"{'priority': 'top priority target', 'score': 3.85, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'ExoClock alert target; 4 observations in the last year (moderately monitored)', 'coordination': 'multi-site coordination required; active campaign target', 'network': True, 'campaign': True}",top priority target. well constrained ephemeris. excellent visibility. TTV signal strong. ExoClock alert target; 4 observations in the last year (moderately monitored). part of an active campaign. requires multi-site coordination.,"📡 Campaign, 🌍 Network"
WASP-94Ab_633,WASP-94Ab,633,0.4283543679629607,2458739.12004,3.95020155,4.57,10.05,10.17,15.76,-2.54,5.0,313.78310208333335,-34.1355575,0,high,False,7.594549194584768,True,False,0,103.34,2486.64517250238,2458739.12004,2026-07-18 02:19:25.284,1.0,27.66797567600137,21.499527129522644,2.3300220537612053,1,2461239.596820417,2.54,0.127,none,4,0.6666666666666666,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,1.0,4.27836475837543,0.5033370303971094,5,1,4,5,5.0,3,3.8499999999999996,3.8499999999999996,0,0.9870556673373575,0.9998658618376928,excellent visibility,well constrained ephemeris,top priority target,high ExoClock priority; no observations in the last year,multi-site coordination required,"{'priority': 'top priority target', 'score': 3.8499999999999996, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; no observations in the last year', 'coordination': 'multi-site coordination required', 'network': True, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. high ExoClock priority; no observations in the last year. requires multi-site coordination.,🌍 Network
WASP-7b_350,WASP-7b,350,0.4978574832219037,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1721.269739919342,2459504.49547,2026-07-17 02:55:37.280,0.6583333333333333,22.572849581179373,12.740434886283605,2.991384898404965,1,2461238.5914037037,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,3.816475652142006,0.4489971355461183,5,2,5,3,4.5,3,3.8249999999999993,3.8249999999999993,0,0.9329979879275654,0.9995975855130784,excellent visibility,well constrained ephemeris,top priority target,high ExoClock priority; 1 observations in the last year,multi-site coordination required,"{'priority': 'top priority target', 'score': 3.8249999999999993, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; 1 observations in the last year', 'coordination': 'multi-site coordination required', 'network': True, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. TTV signal weak. high ExoClock priority; 1 observations in the last year. requires multi-site coordination.,🌍 Network
WASP-7b_351,WASP-7b,351,0.4990124899144313,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1721.269739922136,2459504.49547,2026-07-22 01:50:18.989,0.675,22.57285652528834,16.76523641905901,2.852674520437294,1,2461243.577997558,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,3.816475652142006,0.4489971355461183,5,2,5,3,4.5,3,3.8249999999999993,3.8249999999999993,0,0.9352783366867874,0.9995975855130784,excellent visibility,well constrained ephemeris,top priority target,high ExoClock priority; 1 observations in the last year,multi-site coordination required,"{'priority': 'top priority target', 'score': 3.8249999999999993, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; 1 observations in the last year', 'coordination': 'multi-site coordination required', 'network': True, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. TTV signal weak. high ExoClock priority; 1 observations in the last year. requires multi-site coordination.,🌍 Network
WASP-7b_352,WASP-7b,352,0.5001681133161855,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1721.2697399253957,2459504.49547,2026-07-27 00:45:00.697,0.6333333333333333,22.572816498163434,11.987216952992425,3.0413669804696135,1,2461248.5645914003,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,3.816475652142006,0.4489971355461183,5,2,5,3,4.5,3,3.8249999999999993,3.8249999999999993,0,0.9297116029510396,0.9995975855130784,excellent visibility,well constrained ephemeris,top priority target,high ExoClock priority; 1 observations in the last year,multi-site coordination required,"{'priority': 'top priority target', 'score': 3.8249999999999993, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; 1 observations in the last year', 'coordination': 'multi-site coordination required', 'network': True, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. TTV signal weak. high ExoClock priority; 1 observations in the last year. requires multi-site coordination.,🌍 Network
WASP-7b_348,WASP-7b,348,0.4955493372109342,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1721.2697399132885,2459504.49547,2026-07-07 05:06:13.864,0.275,22.48565531476776,0.41580274567489045,8.276746059553243,1,2461228.6293271296,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,5.316475652142006,0.6254677237814125,5,2,5,2,4.5,4,3.7749999999999995,3.7749999999999995,0,0.8757209926224011,0.999195171026157,excellent visibility,well constrained ephemeris,top priority target,high ExoClock priority; 1 observations in the last year,multi-site coordination required; partial visibility,"{'priority': 'top priority target', 'score': 3.7749999999999995, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; 1 observations in the last year', 'coordination': 'multi-site coordination required; partial visibility', 'network': True, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. TTV signal weak. high ExoClock priority; 1 observations in the last year. requires multi-site coordination.,🌍 Network
WASP-7b_349,WASP-7b,349,0.4967030975406819,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1721.2697399165481,2459504.49547,2026-07-12 04:00:55.572,0.4666666666666667,22.57270545751342,7.023340893757324,3.6138289391153924,1,2461233.604809861,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,5.316475652142006,0.6254677237814125,5,2,5,2,4.5,4,3.7749999999999995,3.7749999999999995,0,0.9027498323272971,0.999195171026157,excellent visibility,well constrained ephemeris,top priority target,high ExoClock priority; 1 observations in the last year,multi-site coordination required; partial visibility,"{'priority': 'top priority target', 'score': 3.7749999999999995, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; 1 observations in the last year', 'coordination': 'multi-site coordination required; partial visibility', 'network': True, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. TTV signal weak. high ExoClock priority; 1 observations in the last year. requires multi-site coordination.,🌍 Network
WASP-7b_353,WASP-7b,353,0.5013243491623608,2459504.49547,4.9546494,3.89,9.5,9.196,11.26,5.18,5.0,311.04258625000006,-39.225238611111116,1,high,True,6.054918840473354,True,False,0,93.14,1721.269739927724,2459504.49547,2026-07-31 23:39:42.405,0.44166666666666665,22.572581394881585,6.130014409043954,3.7844595244118318,1,2461253.551185243,5.18,0.259,weak,5,0.8333333333333334,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,0.5,5.316475652142006,0.6254677237814125,5,2,5,2,4.5,4,3.7749999999999995,3.7749999999999995,0,0.8994634473507713,0.999195171026157,excellent visibility,well constrained ephemeris,top priority target,high ExoClock priority; 1 observations in the last year,multi-site coordination required; partial visibility,"{'priority': 'top priority target', 'score': 3.7749999999999995, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; 1 observations in the last year', 'coordination': 'multi-site coordination required; partial visibility', 'network': True, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. TTV signal weak. high ExoClock priority; 1 observations in the last year. requires multi-site coordination.,🌍 Network
K2-139b_138,K2-139b,138,59.617565196842065,2457325.8171,28.3824,4.89,11.65,11.211,12.33,59.86,5.0,289.0665379166667,-17.910669444444444,2,alert,True,1.0569930661254863,True,True,1,40.54,3899.9480994362384,2457325.8171,2026-07-21 02:05:59.936,1.0,43.836822305259645,20.324788517411932,1.779480879074175,1,2461242.519443704,59.86,1.0,strong,4,0.6666666666666666,5.0,7.540404845546118,0.3141835352310883,OK,True,1.5080809691092236,1.0,5,0.3333333333333333,4.3170979198376465,0.5078938729220761,1,5,4,5,5.0,4,3.75,3.75,0,0.9870556673373575,0.9986586183769283,excellent visibility,high ephemeris uncertainty,top priority target,ExoClock alert target; 2 observations in the last year,multi-site coordination required; active campaign target,"{'priority': 'top priority target', 'score': 3.75, 'visibility': 'excellent visibility', 'ephemeris': 'high ephemeris uncertainty', 'science': 'ExoClock alert target; 2 observations in the last year', 'coordination': 'multi-site coordination required; active campaign target', 'network': True, 'campaign': True}",top priority target. high ephemeris uncertainty. excellent visibility. TTV signal strong. ExoClock alert target; 2 observations in the last year. part of an active campaign. requires multi-site coordination.,"📡 Campaign, 🌍 Network"
KOI-12b_308,KOI-12b,308,1.6486510633169094,2455729.51594,17.855227,7.47,11.51,11.071,10.37,-15.27,5.0,297.4537225,41.0110075,0,alert,False,1.6801802631800762,True,True,1,42.21,5496.249261094257,2455729.51594,2026-07-07 10:12:04.774,0.0,15.277738009817408,-16.503613034454915,22.306033154559785,0,2461228.841721921,15.27,0.7635,moderate,4,0.6666666666666666,5.0,6.237074801490048,0.259878116728752,OK,True,1.2474149602980096,1.0,5,1.0,6.004054078954023,0.7063593034063557,3,5,4,1,5.0,5,3.75,3.75,0,0.413682092555332,0.9986586183769283,limited visibility,well constrained ephemeris,top priority target,ExoClock alert target; no observations in the last year,multi-site coordination required; active campaign target; partial visibility,"{'priority': 'top priority target', 'score': 3.75, 'visibility': 'limited visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'ExoClock alert target; no observations in the last year', 'coordination': 'multi-site coordination required; active campaign target; partial visibility', 'network': True, 'campaign': True}",top priority target. well constrained ephemeris. limited visibility. TTV signal moderate. ExoClock alert target; no observations in the last year. part of an active campaign. requires multi-site coordination.,"📡 Campaign, 🌍 Network"
