event_id,name,epoch,pred_sigma_min,T0,P,duration_hours,mag_V,mag_R,depth_mmag,current_oc_min,min_telescope_inches,ra,dec,n_obs_recent,exoclock_priority,recent_activity_flag,events_per_month,network_needed,campaign_flag,ttv_flag,snr_proxy,time_since_last_obs_days,last_obs_jd,papers_last_12m,papers_last_36m,latest_title,latest_bibcode,last_paper_date,Tmid_utc,obs_frac,obs_max_alt,obs_min_alt,obs_mean_airmass,obs_visible,obs_peak_time_jd,ttv_amplitude_min,ttv_signal_strength,ttv_significance_class,instrument_difficulty,instrument_difficulty_norm,aperture_exoclock,required_aperture,aperture_ratio,instrument_flag,instrument_feasible,aperture_consistency,instrument_penalty,science_priority_numeric,science_recency_score,campaign_intensity,campaign_intensity_norm,S1,S2,S3,S4,S5,S6,base_score,final_score,priority_group,obs_frac_pct,final_score_pct,obs_interpretation,ephemeris_interpretation,score_interpretation,science_interpretation,synergy_explanation,score_breakdown,summary_text,flag_labels
HD332231b_101,HD332231b,101,19.36288170288772,2459384.5968,18.71175,6.12,8.56,8.216,6.4,80.61,5.0,306.7413245833333,33.74445111111111,2,alert,,1.6032706721712295,True,True,1,103.19,1861.1475770464167,2459384.5968,0,0,,,,2026-08-21 23:35:09.537,1.0,84.46475668299419,63.67775859538111,1.040295624811953,1,2461274.481360382,80.61,1.0,strong,4,0.6666666666666666,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,5,0.3333333333333333,4.480981201651369,0.5271742590178081,5,5,4,5,5.0,4,4.75,4.75,0,0.9839381720430107,1.0,There is excellent visibility,"Predicted transit timing uncertainty has grown to approximately 19.4 minutes, indicating that additional observations would improve ephemeris precision.",This is a top priority target,This is an ExoClock alert target; 2 observations recorded in the last year,"For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.","{'priority': 'This is a top priority target', 'score': 4.75, 'visibility': 'There is excellent visibility', 'ephemeris': 'Predicted transit timing uncertainty has grown to approximately 19.4 minutes, indicating that additional observations would improve ephemeris precision.', 'science': 'This is an ExoClock alert target; 2 observations recorded in the last year', 'coordination': 'For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.', 'network': True, 'campaign': True}","This is a top priority target. Predicted transit timing uncertainty has grown to approximately 19.4 minutes, indicating that additional observations would improve ephemeris precision.. There is excellent visibility. TTV signal strong. This is an ExoClock alert target; 2 observations recorded in the last year. part of an active campaign. requires multi-site coordination.","📡 Campaign, 🌍 Network"
TOI-5803b_271,TOI-5803b,271,80.78173355964313,2459802.7103,5.38305,1.41,10.66,10.227,2.04,-23.32,27.34,327.24856041666663,6.278339166666667,3,alert,,5.5730487363112,False,True,1,6.36,1443.0340854572132,2459802.7103,0,0,,,,2026-08-09 00:23:06.657,1.0,68.1031268262995,37.232969015589696,1.2201697698389913,1,2461261.5729937153,23.32,1.0,strong,3,0.5,27.34,21.882956228465105,0.9117898428527127,OK,True,0.8004007398853367,1.0,5,0.25,3.67191462089336,0.4319899553992188,5,5,3,5,5.0,4,4.6000000000000005,4.6000000000000005,0,0.9839381720430107,0.9998655913978495,There is excellent visibility,"Predicted transit timing uncertainty has grown to approximately 80.8 minutes, indicating that additional observations would improve ephemeris precision.",This is a top priority target,This is an ExoClock alert target; 3 observations in the last year (moderately monitored),This target has been - or currently is - part of an active campaign.,"{'priority': 'This is a top priority target', 'score': 4.6000000000000005, 'visibility': 'There is excellent visibility', 'ephemeris': 'Predicted transit timing uncertainty has grown to approximately 80.8 minutes, indicating that additional observations would improve ephemeris precision.', 'science': 'This is an ExoClock alert target; 3 observations in the last year (moderately monitored)', 'coordination': 'This target has been - or currently is - part of an active campaign.', 'network': False, 'campaign': True}","This is a top priority target. Predicted transit timing uncertainty has grown to approximately 80.8 minutes, indicating that additional observations would improve ephemeris precision.. There is excellent visibility. TTV signal strong. This is an ExoClock alert target; 3 observations in the last year (moderately monitored). part of an active campaign.",📡 Campaign
TOI-1759b_133,TOI-1759b,133,24.947936623295266,2458745.4654,18.85019,3.44,11.434,11.002,3.14,40.94,17.19,326.8532920833333,62.753861944444445,1,alert,,1.5914958947363393,True,True,1,14.72,2500.278983467724,2458745.4654,0,0,,,,2026-07-31 00:57:24.705,1.0,55.423631988994316,42.58955335463764,1.2860126349824208,1,2461252.596813715,40.94,1.0,strong,2,0.3333333333333333,17.19,16.12822547737342,0.6720093948905591,OK,True,0.9382330120636078,1.0,5,0.5,4.477448768420902,0.5267586786377532,5,5,2,5,5.0,4,4.45,4.45,0,0.9839381720430107,0.999731182795699,There is excellent visibility,"Predicted transit timing uncertainty has grown to approximately 24.9 minutes, indicating that additional observations would improve ephemeris precision.",This is a top priority target,This is an ExoClock alert target; 1 observations recorded in the last year,"For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.","{'priority': 'This is a top priority target', 'score': 4.45, 'visibility': 'There is excellent visibility', 'ephemeris': 'Predicted transit timing uncertainty has grown to approximately 24.9 minutes, indicating that additional observations would improve ephemeris precision.', 'science': 'This is an ExoClock alert target; 1 observations recorded in the last year', 'coordination': 'For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.', 'network': True, 'campaign': True}","This is a top priority target. Predicted transit timing uncertainty has grown to approximately 24.9 minutes, indicating that additional observations would improve ephemeris precision.. There is excellent visibility. TTV signal strong. This is an ExoClock alert target; 1 observations recorded in the last year. part of an active campaign. requires multi-site coordination.","📡 Campaign, 🌍 Network"
TOI-1859b_41,TOI-1859b,41,6.238707558460888,2458662.6558,63.48347,4.8,10.33,10.093,5.35,56.43,7.77,279.83161375,69.52292527777777,8,alert,,0.4725639603506236,True,True,1,31.08,2583.0885836593807,2458662.6558,0,0,,,,2026-08-12 23:27:16.065,1.0,48.75018494349457,40.98388733320808,1.3805675298586308,1,2461265.4300470487,56.43,1.0,strong,3,0.5,7.77,6.291194642801693,0.2621331101167372,OK,True,0.8096775602061381,1.0,5,0.1111111111111111,4.141769188105187,0.48726696330649255,4,5,3,5,5.0,4,4.3500000000000005,4.3500000000000005,0,0.9839381720430107,0.9995967741935484,There is excellent visibility,"The ephemeris remains relatively well constrained (6.2 minute uncertainty), but the target has not been observed recently and would benefit from maintenance observations.",This is a top priority target,This is an ExoClock alert target; 8 observations in the last year (well monitored),"For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.","{'priority': 'This is a top priority target', 'score': 4.3500000000000005, 'visibility': 'There is excellent visibility', 'ephemeris': 'The ephemeris remains relatively well constrained (6.2 minute uncertainty), but the target has not been observed recently and would benefit from maintenance observations.', 'science': 'This is an ExoClock alert target; 8 observations in the last year (well monitored)', 'coordination': 'For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.', 'network': True, 'campaign': True}","This is a top priority target. The ephemeris remains relatively well constrained (6.2 minute uncertainty), but the target has not been observed recently and would benefit from maintenance observations.. There is excellent visibility. TTV signal strong. This is an ExoClock alert target; 8 observations in the last year (well monitored). part of an active campaign. requires multi-site coordination.","📡 Campaign, 🌍 Network"
CoRoT-36b_996,CoRoT-36b,996,32.99115311580322,2455662.52236,5.616531,5.14,13.14,13.01,12.12,-30.79,7.93,277.75101,7.1833638888888895,3,alert,,5.341375307997054,True,True,1,15.13,5583.2220129692,2455662.52236,0,0,,,,2026-08-04 02:04:28.007,0.8666666666666667,62.22704226683179,13.262616976147195,1.8902830491887983,1,2461256.503101933,30.79,1.0,strong,1,0.16666666666666666,7.93,14.733222998697562,0.6138842916123984,OK,True,1.8579095836945223,1.0,5,0.25,5.602412592399116,0.6591073638116607,5,5,1,4,5.0,5,4.25,4.25,0,0.9548387096774194,0.9991935483870967,There is excellent visibility,"Predicted transit timing uncertainty has grown to approximately 33.0 minutes, indicating that additional observations would improve ephemeris precision.",This is a top priority target,This is an ExoClock alert target; 3 observations in the last year (moderately monitored),"For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.","{'priority': 'This is a top priority target', 'score': 4.25, 'visibility': 'There is excellent visibility', 'ephemeris': 'Predicted transit timing uncertainty has grown to approximately 33.0 minutes, indicating that additional observations would improve ephemeris precision.', 'science': 'This is an ExoClock alert target; 3 observations in the last year (moderately monitored)', 'coordination': 'For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.', 'network': True, 'campaign': True}","This is a top priority target. Predicted transit timing uncertainty has grown to approximately 33.0 minutes, indicating that additional observations would improve ephemeris precision.. There is excellent visibility. TTV signal strong. This is an ExoClock alert target; 3 observations in the last year (moderately monitored). part of an active campaign. requires multi-site coordination.","📡 Campaign, 🌍 Network"
CoRoT-36b_999,CoRoT-36b,999,33.09050220674175,2455662.52236,5.616531,5.14,13.14,13.01,12.12,-30.79,7.93,277.75101,7.1833638888888895,3,alert,,5.341375307997054,True,True,1,15.13,5583.2220129761845,2455662.52236,0,0,,,,2026-08-20 22:27:52.843,0.85,68.90365396930122,45.74874249309941,1.1465126857442836,1,2461273.4040838312,30.79,1.0,strong,1,0.16666666666666666,7.93,14.733222998697562,0.6138842916123984,OK,True,1.8579095836945223,1.0,5,0.25,5.602412592399116,0.6591073638116607,5,5,1,4,5.0,5,4.25,4.25,0,0.9525537634408602,0.9991935483870967,There is excellent visibility,"Predicted transit timing uncertainty has grown to approximately 33.1 minutes, indicating that additional observations would improve ephemeris precision.",This is a top priority target,This is an ExoClock alert target; 3 observations in the last year (moderately monitored),"For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.","{'priority': 'This is a top priority target', 'score': 4.25, 'visibility': 'There is excellent visibility', 'ephemeris': 'Predicted transit timing uncertainty has grown to approximately 33.1 minutes, indicating that additional observations would improve ephemeris precision.', 'science': 'This is an ExoClock alert target; 3 observations in the last year (moderately monitored)', 'coordination': 'For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.', 'network': True, 'campaign': True}","This is a top priority target. Predicted transit timing uncertainty has grown to approximately 33.1 minutes, indicating that additional observations would improve ephemeris precision.. There is excellent visibility. TTV signal strong. This is an ExoClock alert target; 3 observations in the last year (moderately monitored). part of an active campaign. requires multi-site coordination.","📡 Campaign, 🌍 Network"
HD332231b_100,HD332231b,100,19.180129718016254,2459384.5968,18.71175,6.12,8.56,8.216,6.4,80.61,5.0,306.7413245833333,33.74445111111111,2,alert,,1.6032706721712295,True,True,1,103.19,1861.1475770440884,2459384.5968,0,0,,,,2026-08-03 06:30:14.337,0.13333333333333333,42.437107832763,-2.910638634531219,11.330026782341905,1,2461255.6876659375,80.61,1.0,strong,4,0.6666666666666666,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,5,0.3333333333333333,5.980981201651369,0.7036448472531023,5,5,4,1,5.0,5,4.25,4.25,0,0.8407930107526882,0.9991935483870967,There is excellent visibility,"Predicted transit timing uncertainty has grown to approximately 19.2 minutes, indicating that additional observations would improve ephemeris precision.",This is a top priority target,This is an ExoClock alert target; 2 observations recorded in the last year,"For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign. This target has only partial visibility.","{'priority': 'This is a top priority target', 'score': 4.25, 'visibility': 'There is excellent visibility', 'ephemeris': 'Predicted transit timing uncertainty has grown to approximately 19.2 minutes, indicating that additional observations would improve ephemeris precision.', 'science': 'This is an ExoClock alert target; 2 observations recorded in the last year', 'coordination': 'For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign. This target has only partial visibility.', 'network': True, 'campaign': True}","This is a top priority target. Predicted transit timing uncertainty has grown to approximately 19.2 minutes, indicating that additional observations would improve ephemeris precision.. There is excellent visibility. TTV signal strong. This is an ExoClock alert target; 2 observations recorded in the last year. part of an active campaign. requires multi-site coordination.","📡 Campaign, 🌍 Network"
K2-139b_139,K2-139b,139,60.04955393672559,2457325.8171,28.3824,4.89,11.65,11.211,12.33,59.86,5.0,289.0665379166667,-17.910669444444444,2,alert,,1.0569930661254863,True,True,1,40.54,3919.927277568262,2457325.8171,0,0,,,,2026-08-18 11:16:39.297,0.0,-52.27097428269629,-79.56262012696699,,0,2461271.0518437154,59.86,1.0,strong,4,0.6666666666666666,5.0,7.540404845546118,0.3141835352310883,OK,True,1.5080809691092236,1.0,5,0.3333333333333333,5.8170979198376465,0.6843644611573702,5,5,4,1,5.0,5,4.25,4.25,0,0.40698924731182795,0.9991935483870967,There is going to be limited visibility,"Predicted transit timing uncertainty has grown to approximately 60.0 minutes, indicating that additional observations would improve ephemeris precision.",This is a top priority target,This is an ExoClock alert target; 2 observations recorded in the last year,"For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign. This target has only partial visibility.","{'priority': 'This is a top priority target', 'score': 4.25, 'visibility': 'There is going to be limited visibility', 'ephemeris': 'Predicted transit timing uncertainty has grown to approximately 60.0 minutes, indicating that additional observations would improve ephemeris precision.', 'science': 'This is an ExoClock alert target; 2 observations recorded in the last year', 'coordination': 'For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign. This target has only partial visibility.', 'network': True, 'campaign': True}","This is a top priority target. Predicted transit timing uncertainty has grown to approximately 60.0 minutes, indicating that additional observations would improve ephemeris precision.. There is going to be limited visibility. TTV signal strong. This is an ExoClock alert target; 2 observations recorded in the last year. part of an active campaign. requires multi-site coordination.","📡 Campaign, 🌍 Network"
TOI-5803b_269,TOI-5803b,269,80.18558882737103,2459802.7103,5.38305,1.41,10.66,10.227,2.04,-23.32,27.34,327.24856041666663,6.278339166666667,3,alert,,5.5730487363112,False,True,1,6.36,1443.0340854525566,2459802.7103,0,0,,,,2026-07-29 05:59:55.617,0.25,59.3111509682931,9.719470834714055,2.160648381271613,1,2461250.6666159374,23.32,1.0,strong,3,0.5,27.34,21.882956228465105,0.9117898428527127,OK,True,0.8004007398853367,1.0,5,0.25,5.17191462089336,0.608460543634513,5,5,3,2,5.0,5,4.25,4.25,0,0.8612231182795699,0.9991935483870967,There is excellent visibility,"Predicted transit timing uncertainty has grown to approximately 80.2 minutes, indicating that additional observations would improve ephemeris precision.",This is a top priority target,This is an ExoClock alert target; 3 observations in the last year (moderately monitored),This target has been - or currently is - part of an active campaign. This target has only partial visibility.,"{'priority': 'This is a top priority target', 'score': 4.25, 'visibility': 'There is excellent visibility', 'ephemeris': 'Predicted transit timing uncertainty has grown to approximately 80.2 minutes, indicating that additional observations would improve ephemeris precision.', 'science': 'This is an ExoClock alert target; 3 observations in the last year (moderately monitored)', 'coordination': 'This target has been - or currently is - part of an active campaign. This target has only partial visibility.', 'network': False, 'campaign': True}","This is a top priority target. Predicted transit timing uncertainty has grown to approximately 80.2 minutes, indicating that additional observations would improve ephemeris precision.. There is excellent visibility. TTV signal strong. This is an ExoClock alert target; 3 observations in the last year (moderately monitored). part of an active campaign.",📡 Campaign
TOI-1759b_134,TOI-1759b,134,25.134761726342827,2458745.4654,18.85019,3.44,11.434,11.002,3.14,40.94,17.19,326.8532920833333,62.753861944444445,1,alert,,1.5914958947363393,True,True,1,14.72,2500.278983470518,2458745.4654,0,0,,,,2026-08-18 21:21:41.121,0.5666666666666667,51.42858264727733,26.761982210965712,1.6146243425585218,1,2461271.472003715,40.94,1.0,strong,2,0.3333333333333333,17.19,16.12822547737342,0.6720093948905591,OK,True,0.9382330120636078,1.0,5,0.5,4.477448768420902,0.5267586786377532,5,5,2,3,5.0,4,4.15,4.15,0,0.914247311827957,0.9987903225806452,There is excellent visibility,"Predicted transit timing uncertainty has grown to approximately 25.1 minutes, indicating that additional observations would improve ephemeris precision.",This is a top priority target,This is an ExoClock alert target; 1 observations recorded in the last year,"For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.","{'priority': 'This is a top priority target', 'score': 4.15, 'visibility': 'There is excellent visibility', 'ephemeris': 'Predicted transit timing uncertainty has grown to approximately 25.1 minutes, indicating that additional observations would improve ephemeris precision.', 'science': 'This is an ExoClock alert target; 1 observations recorded in the last year', 'coordination': 'For this target, multi-site coordination is recommended. This target has been - or currently is - part of an active campaign.', 'network': True, 'campaign': True}","This is a top priority target. Predicted transit timing uncertainty has grown to approximately 25.1 minutes, indicating that additional observations would improve ephemeris precision.. There is excellent visibility. TTV signal strong. This is an ExoClock alert target; 1 observations recorded in the last year. part of an active campaign. requires multi-site coordination.","📡 Campaign, 🌍 Network"
