event_id,name,epoch,pred_sigma_min,T0,P,duration_hours,mag_V,depth_mmag,current_oc_min,min_telescope_inches,ra,dec,n_obs_recent,exoclock_priority,recent_activity_flag,events_per_month,network_needed,campaign_flag,ttv_flag,snr_proxy,time_since_last_obs_days,last_obs_jd,Tmid_utc,obs_frac,obs_max_alt,obs_min_alt,obs_mean_airmass,obs_visible,obs_peak_time_jd,ttv_amplitude_min,ttv_signal_strength,ttv_significance_class,instrument_difficulty,instrument_difficulty_norm,aperture_exoclock,required_aperture,aperture_ratio,instrument_flag,instrument_feasible,aperture_consistency,instrument_penalty,science_priority_numeric,science_recency_score,campaign_intensity,campaign_intensity_norm,S1,S2,S3,S4,S5,S6,base_score,final_score,priority_group,obs_frac_pct,final_score_pct,obs_interpretation,ephemeris_interpretation,score_interpretation,science_interpretation,synergy_explanation,score_breakdown,summary_text,flag_labels
TOI-1431b_639,TOI-1431b,639,0.363112932097781,2459558.098917,2.65023153,2.49,8.02,6.16,2.02,5.46,316.2036025,55.587919166666666,4,low,True,11.31976571118675,False,False,0,72.98,1663.9369356944226,2459558.098917,2026-07-30 02:18:19.924,1.0,62.605983458937764,51.00929732396848,1.1652492899131977,1,2461251.5696750465,2.02,0.101,none,5,0.8333333333333334,5.46,4.0,0.16666666666666666,OK,True,0.7326007326007326,1.0,2,0.2,3.0,0.35294117647058826,5,1,5,5,2.2,2,3.4800000000000004,3.4800000000000004,0,0.9917355371900827,1.0,excellent visibility,well constrained ephemeris,top priority target,low ExoClock priority; 4 observations in the last year (moderately monitored),no special coordination required,"{'priority': 'top priority target', 'score': 3.4800000000000004, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'low ExoClock priority; 4 observations in the last year (moderately monitored)', 'coordination': 'no special coordination required', 'network': False, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. low ExoClock priority; 4 observations in the last year (moderately monitored).,—
XO-1b_1265,XO-1b,1265,0.3113257354219314,2456264.47533,3.9415048,2.97,11.25,23.26,-0.15,5.0,240.54935958333334,28.169560833333335,10,low,True,7.611306219898553,False,False,0,74.06,4957.560523267835,2456264.47533,2026-07-28 23:28:27.949,1.0,79.99858664193923,28.423855855747068,1.33704438935176,1,2461250.3947679284,0.15,0.0075,none,5,0.8333333333333334,5.0,5.859324515551789,0.24413852148132453,OK,True,1.1718649031103578,1.0,2,0.09090909090909091,2.283391865969566,0.2686343371728901,5,1,5,5,2.090909090909091,2,3.463636363636364,3.463636363636364,0,0.9917355371900827,0.9979338842975206,excellent visibility,well constrained ephemeris,top priority target,low ExoClock priority; 10 observations in the last year (well monitored),no special coordination required,"{'priority': 'top priority target', 'score': 3.463636363636364, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'low ExoClock priority; 10 observations in the last year (well monitored)', 'coordination': 'no special coordination required', 'network': False, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. low ExoClock priority; 10 observations in the last year (well monitored).,—
WASP-3b_2095,WASP-3b,2095,0.17979207985048135,2457381.353164,1.84683512,2.8,10.63,13.66,0.3,5.0,278.63177291666665,35.66152472222222,11,low,True,16.244005582913108,False,False,0,55.14,3840.682688943576,2457381.353164,2026-07-28 23:19:35.587,0.9666666666666667,82.61442088319056,63.027177424375274,1.0434917920923112,1,2461250.4691618867,0.3,0.015,none,5,0.8333333333333334,5.0,5.918699166254279,0.24661246526059497,OK,True,1.1837398332508557,1.0,2,0.08333333333333333,3.0,0.35294117647058826,5,1,5,5,2.0833333333333335,2,3.4625000000000004,3.4625000000000004,0,0.9793388429752066,0.9958677685950413,excellent visibility,well constrained ephemeris,top priority target,low ExoClock priority; 11 observations in the last year (well monitored),no special coordination required,"{'priority': 'top priority target', 'score': 3.4625000000000004, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'low ExoClock priority; 11 observations in the last year (well monitored)', 'coordination': 'no special coordination required', 'network': False, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. low ExoClock priority; 11 observations in the last year (well monitored).,—
WASP-1b_1570,WASP-1b,1570,0.3677277337161137,2457294.28313,2.51994683,3.76,11.31,14.21,-0.63,5.0,5.1669775,31.989986944444446,7,low,True,11.905013091089705,True,False,0,35.88,3927.7527229362167,2457294.28313,2026-07-29 02:22:20.844,1.0,80.47851135860293,30.676467499030263,1.2993590812244074,1,2461250.680796806,0.63,0.0315,none,4,0.6666666666666666,5.0,6.849197196907483,0.2853832165378118,OK,True,1.3698394393814968,1.0,2,0.125,5.0,0.5882352941176471,5,1,4,5,2.125,3,3.41875,3.41875,0,0.9917355371900827,0.993801652892562,excellent visibility,well constrained ephemeris,top priority target,low ExoClock priority; 7 observations in the last year (well monitored),multi-site coordination required,"{'priority': 'top priority target', 'score': 3.41875, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'low ExoClock priority; 7 observations in the last year (well monitored)', 'coordination': 'multi-site coordination required', 'network': True, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. low ExoClock priority; 7 observations in the last year (well monitored). requires multi-site coordination.,🌍 Network
WASP-18b_2610,WASP-18b,2610,0.06439710912269042,2458793.174725,0.941452406,2.18,9.3,12.09,-4.76,5.0,24.35430625,-45.67788222222222,0,high,False,31.865657582694627,False,False,0,82.7,2428.861127975397,2458793.174725,2026-07-28 20:45:10.419,0.0,-35.91427963341009,-71.9889144271832,,0,2461250.446648368,4.76,0.238,none,6,1.0,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,1.0,4.5,0.5294117647058824,5,1,5,1,5.0,3,3.4000000000000004,3.4000000000000004,0,0.41838842975206614,0.9907024793388429,limited visibility,well constrained ephemeris,top priority target,high ExoClock priority; no observations in the last year,partial visibility,"{'priority': 'top priority target', 'score': 3.4000000000000004, 'visibility': 'limited visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; no observations in the last year', 'coordination': 'partial visibility', 'network': False, 'campaign': False}",top priority target. well constrained ephemeris. limited visibility. high ExoClock priority; no observations in the last year.,—
WASP-18b_2611,WASP-18b,2611,0.06441862453788459,2458793.174725,0.941452406,2.18,9.3,12.09,-4.76,5.0,24.35430625,-45.67788222222222,0,high,False,31.865657582694627,False,False,0,82.7,2428.8611279772595,2458793.174725,2026-07-29 19:20:51.907,0.0,-49.983704715155824,-72.76344743960128,,0,2461251.3881007754,4.76,0.238,none,6,1.0,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,1.0,4.5,0.5294117647058824,5,1,5,1,5.0,3,3.4000000000000004,3.4000000000000004,0,0.41838842975206614,0.9907024793388429,limited visibility,well constrained ephemeris,top priority target,high ExoClock priority; no observations in the last year,partial visibility,"{'priority': 'top priority target', 'score': 3.4000000000000004, 'visibility': 'limited visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; no observations in the last year', 'coordination': 'partial visibility', 'network': False, 'campaign': False}",top priority target. well constrained ephemeris. limited visibility. high ExoClock priority; no observations in the last year.,—
WASP-79b_723,WASP-79b,723,0.4358034444845743,2458603.336285,3.66239184,3.85,10.04,15.42,0.0,5.0,66.37090333333335,-30.600447222222222,0,high,False,8.191368185224004,True,False,0,92.25,2618.6995680918917,2458603.336285,2026-07-29 17:52:29.388,0.0,-23.73639260037741,-74.15470188331638,,0,2461251.16145125,0.0,0.0,none,4,0.6666666666666666,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,1.0,5.957410455567201,0.7008718183020237,5,1,4,1,5.0,4,3.3499999999999996,3.3499999999999996,0,0.41838842975206614,0.9865702479338843,limited visibility,well constrained ephemeris,top priority target,high ExoClock priority; no observations in the last year,multi-site coordination required; partial visibility,"{'priority': 'top priority target', 'score': 3.3499999999999996, 'visibility': 'limited visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; no observations in the last year', 'coordination': 'multi-site coordination required; partial visibility', 'network': True, 'campaign': False}",top priority target. well constrained ephemeris. limited visibility. high ExoClock priority; no observations in the last year. requires multi-site coordination.,🌍 Network
WASP-94Ab_636,WASP-94Ab,636,0.43005476540254695,2458739.12004,3.95020155,4.57,10.05,15.76,-2.54,5.0,313.78310208333335,-34.1355575,0,high,False,7.594549194584768,True,False,0,103.34,2482.915813120082,2458739.12004,2026-07-29 22:44:17.526,0.0,26.562515368993882,-2.36532026023526,18.87314953517596,0,2461251.529369514,2.54,0.127,none,4,0.6666666666666666,5.0,4.0,0.16666666666666666,OK,True,0.8,1.0,4,1.0,5.77836475837543,0.6798076186324035,5,1,4,1,5.0,4,3.3499999999999996,3.3499999999999996,0,0.41838842975206614,0.9865702479338843,limited visibility,well constrained ephemeris,top priority target,high ExoClock priority; no observations in the last year,multi-site coordination required; partial visibility,"{'priority': 'top priority target', 'score': 3.3499999999999996, 'visibility': 'limited visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; no observations in the last year', 'coordination': 'multi-site coordination required; partial visibility', 'network': True, 'campaign': False}",top priority target. well constrained ephemeris. limited visibility. high ExoClock priority; no observations in the last year. requires multi-site coordination.,🌍 Network
WASP-29b_723,WASP-29b,723,0.28839281754829854,2458415.25582,3.92271189,2.63,11.33,13.36,-1.8,5.0,357.8795166666667,-39.90673861111111,1,high,True,7.647770430573223,False,False,0,47.19,2806.780032996554,2458415.25582,2026-07-29 21:01:01.840,0.0,-12.314051164089635,-56.804476353302626,,0,2461251.457660185,1.8,0.09,none,5,0.8333333333333334,5.0,8.524119478473294,0.35517164493638725,OK,True,1.7048238956946586,1.0,4,0.5,3.794331129171967,0.4463918975496432,5,1,5,1,4.5,3,3.325,3.325,0,0.41838842975206614,0.9834710743801653,limited visibility,well constrained ephemeris,top priority target,high ExoClock priority; 1 observations in the last year,partial visibility,"{'priority': 'top priority target', 'score': 3.325, 'visibility': 'limited visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'high ExoClock priority; 1 observations in the last year', 'coordination': 'partial visibility', 'network': False, 'campaign': False}",top priority target. well constrained ephemeris. limited visibility. high ExoClock priority; 1 observations in the last year.,—
WASP-10b_1422,WASP-10b,1422,0.26669954463133827,2456853.689643,3.0927278,2.27,12.7,34.78,-0.49,5.76,348.99291875,31.462859444444444,10,low,True,9.700174713080148,False,False,0,53.03,4368.346209955867,2456853.689643,2026-07-30 01:08:47.662,1.0,79.63415671146325,29.50447334066056,1.3217619476686149,1,2461251.62971831,0.49,0.0245,none,4,0.6666666666666666,5.76,10.6869287578044,0.44528869824185,OK,True,1.8553695760077085,1.0,2,0.09090909090909091,2.9100524139240447,0.3423591075204758,5,1,4,5,2.090909090909091,2,3.3136363636363635,3.3136363636363635,0,0.9917355371900827,0.981404958677686,excellent visibility,well constrained ephemeris,top priority target,low ExoClock priority; 10 observations in the last year (well monitored),no special coordination required,"{'priority': 'top priority target', 'score': 3.3136363636363635, 'visibility': 'excellent visibility', 'ephemeris': 'well constrained ephemeris', 'science': 'low ExoClock priority; 10 observations in the last year (well monitored)', 'coordination': 'no special coordination required', 'network': False, 'campaign': False}",top priority target. well constrained ephemeris. excellent visibility. low ExoClock priority; 10 observations in the last year (well monitored).,—
